id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.03,2014-02-26,,,,,,,,,,,,,,,,,,,1.0
AS14.03,2014-02-27,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-02-28,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-01,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-02,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-03,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-05,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-07,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-08,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-09,,,,,,,,,,,,,,,,,,,1.0
AS14.03,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-11,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-13,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-14,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-15,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-16,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-03-17,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-18,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-19,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-20,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-03-21,,6.170399999999999,9.849677419354839,3.4767916666666667,,,10.046,8.788333333333334,,,,,,1.0,1.0,,9.0,14.563121975922009,1.0
AS14.03,2014-03-22,0.10078358540833851,4.881916666666666,8.556515151515152,3.10553125,,,,14.869333333333332,,24.07785714285714,,4.35,,1.0,0.8,1.0,8.0,11.93421538793124,1.0
AS14.03,2014-03-23,0.07211981633716626,8.278117647058824,8.275190476190476,2.9523285714285716,36.364,,19.946666666666665,10.7666,,34.425625000000004,,,44.854,1.0,-0.2,1.0,8.0,12.643747577389467,1.0
AS14.03,2014-03-24,0.03746217275468995,6.430833333333333,9.42272,2.732684210526316,15.031000000000002,,25.065,11.726555555555557,,,11.064,5.136,,1.0,-0.6,1.0,8.0,11.243989999294278,
